station,latitude,longitude,height_m,x_m,y_m,z_m
75CH,52.0202896043,113.478994041,651.503283467,-1567189.5839,3607905.9507,5004706.4657
76UG,57.5361684783,38.346543014,150.075615138,2691499.5319,2129170.5769,5358312.4561
76YA,57.5586505759,39.8930382693,131.518540356,2631428.054,2199672.161,5359640.382
78S2,59.9621193254,30.3187479095,45.7948179673,2763012.165,1615786.991,5498405.39
86N2,60.9275306764,76.6228002286,56.3490802273,718888.316,3022912.767,5551472.482
87AN,64.7336949721,177.512536805,58.6700194627,-2727291.1136,118478.2152,5745152.6591
ABMF,16.2623051649,298.472463424,-25.553885269,2919785.712,-5383745.067,1774604.692
ABPO,-19.0183044865,47.2292136138,1552.96779821,4097216.5539,4429119.1897,-2065771.1988
AC23,60.4750874007,209.122049844,80.2717239736,-2752835.8544,-1533596.6859,5526822.8676
AC24,58.6815689541,203.347241916,36.8199835336,-3051339.1843,-1317097.875,5425614.4596
ACRG,5.64147113121,359.792888238,83.3909880202,6347491.377,-22944.8986,622822.4766
ACSO,40.2323633089,277.018468309,248.983291494,595828.2436,-4839734.3502,4097877.3354
ADIS,9.03513572989,38.7663039766,2439.14887759,4913652.7609,3945922.6696,995383.3331
ADLR,43.4600752482,39.9223665146,50.0035784105,3556168.7414,2975778.108,4364777.5362
AFSV,58.873367834,53.265310957,235.145535096,1976932.6364,2648910.0968,5436858.9776
AGGO,-34.8737126909,301.860132518,41.5057572117,2765120.6553,-4449249.8563,-3626405.277
AIRA,31.8240611132,130.599593437,314.653795955,-3530185.5598,4118797.3133,3344036.9115
AJAC,41.9274545722,8.76261086565,98.7711827746,4696989.688,723994.197,4239678.304
AKSY,47.2623204578,39.8784003479,99.7218303001,3327769.084,2780315.9423,4661678.2939
AKYA,51.8622722162,58.2178752627,338.873193039,2078971.2222,3355374.2696,4993620.7156
AL2H,48.3897817131,236.51253034,31.7441763422,-2341332.884,-3539049.509,4745791.36
ALAP,57.8516416189,61.6951018302,140.78601123,1613170.4451,2995369.1549,5377082.61
ALAT,54.8412014928,46.5873456795,169.451969265,2529868.2198,2674077.3506,5191362.4492
ALB4,48.3897400152,236.512313219,30.8876236305,-2341347.8941,-3539043.0535,4745787.6405
ALBH,48.3897817223,236.512530392,31.743264582,-2341332.88,-3539049.51,4745791.36
ALG3,45.9548064291,281.927267668,207.285109407,918043.22,-4346175.16,4561905.63
ALGA,50.1385186579,48.5618473773,17.6324409125,2710818.828,3070695.9849,4872692.0361
ALGO,45.955800398,281.928632409,200.829394547,918129.4,-4346071.2,4561977.8
ALIC,-23.6701101252,133.885521633,603.241010211,-4052052.7351,4212835.9833,-2545104.5854
ALKA,50.6305348753,38.683910811,131.254659981,3164554.5248,2533827.572,4907677.5555
ALMT,54.9244730483,52.378620288,146.753065211,2242491.9855,2909688.5531,5196676.5286
ALSV,50.28958179,42.1846423525,84.5428932561,3025581.7605,2741952.613,4883496.2825
ALXN,44.7158296949,43.0148897559,306.122061189,3319601.7851,3097191.9931,4465178.3878
AMC4,38.8031242216,255.475405755,1911.48484356,-1248596.252,-4819428.284,3976506.034
ANK2,39.8428061458,32.7753474406,1296.0553682,4124040.8447,2655252.2445,4065430.2317
ANMG,2.78464843021,101.506602337,15.0021764226,-1270826.87,6242631.446,307792.4399
ANTF,-23.7015253006,289.579927471,68.7129911352,1958241.4663,-5505483.5171,-2548076.2769
APAT,67.5676878489,33.3981431336,212.145846388,2037836.6381,1343610.9306,5873058.224
APSH,44.4652293528,39.7346537332,222.968828523,3506372.5442,2914630.8345,4445287.7152
AREG,-16.465423319,288.507095873,2488.9079362,1942816.2352,-5804076.749,-1796884.3167
AREQ,-16.4655157147,288.507203951,2488.92603827,1942826.2687,-5804070.3514,-1796894.1312
ARHT,-77.8294365703,166.663652963,135.335737586,-1312626.532,311171.125,-6213081.924
ARMV,45.0008285664,41.130962216,209.002141874,3402748.049,2971646.0158,4487561.3078
ARSK,56.0919795029,49.8564729119,146.175986103,2299293.0318,2726291.9447,5270283.5655
ARUC,40.2857139718,44.0855858455,1222.26305506,3500416.85,3390432.738,4103027.648
ASCG,-7.91626835063,345.667321876,40.7339350907,6121154.0324,-1563981.1113,-872614.3506
ASHA,54.9867725107,57.2829163829,141.561050554,1982457.3559,3085970.3386,5200654.7172
ASTR,46.3267837192,48.023736393,-6.10287914518,2950922.6793,3280063.3266,4590400.8892
AUCK,-36.6028445921,174.834385428,132.690600179,-5105681.0516,461564.0479,-3782181.656
AVS2,55.559348096,39.1052805519,160.743946508,2805586.4647,2280467.6477,5236983.9837
BADG,51.7697053658,102.234984196,807.893581536,-838281.2458,3865775.1831,4987621.8651
BAIE,49.1868262683,291.736672756,27.4790641218,1546823.34,-3879765.13,4804185.05
BAKE,64.3178200016,263.997656453,4.40864930302,-289833.93,-2756501.06,5725162.22
BAKO,-6.49106156403,106.848885327,164.738534653,-1836968.3345,6065624.0824,-716259.3385
BAKS,43.6682534919,43.4384414265,558.929747405,3355667.4688,3177564.4536,4381888.6822
BALT,54.6387170422,19.8918472494,46.6627782406,3478767.841,1258736.54,5178249.715
BAMF,48.8353291524,234.864896266,10.6393316044,-2420721.2,-3439856.061,4778532.675
BATR,55.0668536301,47.6047433833,121.953119583,2468103.511,2703367.6612,5205748.7438
BAUT,51.1923441222,14.5217346998,211.77667402,3877545.5,1004370.9,4947148.1
BBSH,59.7579839654,43.1413671295,173.264443074,2349908.4865,2202189.9487,5487096.0114
BCOV,50.5442819715,233.15735929,37.290516898,-2435249.159,-3250218.99,4901513.135
BELE,-1.40879546644,311.537450391,9.07656329218,4228139.0476,-4772752.0834,-155761.3808
BELV,53.8084698567,36.1323793242,201.16668192,3048548.546,2225679.8448,5124347.0202
BERE,59.4319063195,56.8070708474,160.679183602,1780251.7168,2721242.6798,5468699.349
BGAA,52.3913481692,50.4763375352,61.4215133758,2482324.5128,3008767.8836,5029544.0321
BGRD,53.7552269912,38.1063705159,258.092208235,2973862.593,2332340.1192,5120891.3877
BIK0,42.8541928834,74.5331791134,744.861315914,1249005.5455,4513917.3461,4316147.9247
BILL,33.57823496,242.935390739,471.293197462,-2420422.041,-4737132.4707,3507827.6034
BLDR,51.6624166842,52.7756219113,65.7906488637,2398295.5543,3156847.7258,4979643.0781
BLRC,44.7839507166,39.8551292764,136.413324312,3481089.2416,2906013.3215,4470435.2655
BLRK,53.9476245615,58.4098453548,547.785061522,1970816.4492,3204750.195,5133757.9829
BNEU,21.6439709745,101.917187661,1011.99866186,-1224960.9797,5804226.5715,2338188.7548
BOAV,2.84518234689,299.29888507,69.4776721289,3117452.2165,-5555487.8182,314480.7389
BOGI,52.474988942,21.0352099754,139.919759032,3633815.7,1397453.9,5035280.8
BOGT,4.64007309679,285.919060449,2576.77822036,1744399.0397,-6116037.5577,512731.7532
BOR1,52.2769559595,17.0734539739,124.403465463,3738358.5958,1148173.5785,5021815.7483
BORS,53.0246319834,51.6980949991,68.5261897463,2382860.2402,3017018.1465,5072247.4776
BRAZ,-15.9474753421,312.122131017,1106.02033021,4115014.0848,-4550641.5491,-1741444.019
BREW,48.1315240355,240.317366459,238.627303084,-2112007.1404,-3705351.8421,4726827.1606
BRMG,47.9077379874,7.63287866161,261.595895599,4245557.1,568958.1,4710200.0
BRSH,53.6462991693,47.1049355532,225.572599224,2579098.1276,2775919.6264,5113687.7052
